Month,GridCompany,GridCompanyName,NumberofChangesforSmallConsumers,NumberofChangesforLargeConsumers
2023-08-01T00:00:00,016,El-net Kongerslev A/S,2,0
2023-08-01T00:00:00,031,Nord Energi Net A/S,551,6
2023-08-01T00:00:00,042,Netselskabet Elværk A/S - 042,62,1
2023-08-01T00:00:00,051,Elinord A/S,109,0
2023-08-01T00:00:00,084,Kimbrer Elnet A/S,18,0
2023-08-01T00:00:00,085,Læsø Elnet A/S,14,0
2023-08-01T00:00:00,131,N1 A/S - 131,2913,17
2023-08-01T00:00:00,141,Hammel Elforsyning Net A/S,29,0
2023-08-01T00:00:00,151,Konstant Net A/S - 151,953,4
2023-08-01T00:00:00,154,Elnet Midt A/S,156,0
2023-08-01T00:00:00,233,Dinel A/S - 233,679,2
2023-08-01T00:00:00,244,TREFOR El-Net A/S,723,3
2023-08-01T00:00:00,245,Konstant Net A/S - 245,360,1
2023-08-01T00:00:00,331,Netselskabet Elværk A/S - 331,114,1
2023-08-01T00:00:00,341,GEV Elnet A/S,15,0
2023-08-01T00:00:00,342,Ikast El Net A/S,49,0
2023-08-01T00:00:00,344,N1 A/S - 344,1590,11
2023-08-01T00:00:00,347,NOE Net A/S,126,1
2023-08-01T00:00:00,348,RAH Net A/S,254,1
2023-08-01T00:00:00,351,L-Net A/S,87,0
2023-08-01T00:00:00,357,Forsyning Elnet A/S,18,0
2023-08-01T00:00:00,370,Aal El-net A.m.b.a,11,0
2023-08-01T00:00:00,371,Hjerting Transformatorforening,18,0
2023-08-01T00:00:00,381,Hurup Elværk Net A/S,4,0
2023-08-01T00:00:00,384,Tarm Elværk Net A/S,11,0
2023-08-01T00:00:00,385,Videbæk Elnet A/S,13,0
2023-08-01T00:00:00,396,Sunds Net A.m.b.a,11,0
2023-08-01T00:00:00,398,N1 A/S - 398,10,0
2023-08-01T00:00:00,531,Ravdex A/S,89,0
2023-08-01T00:00:00,532,Veksel A/S,42,0
2023-08-01T00:00:00,533,FLOW Elnet A/S,210,1
