HourUTC,HourDK,GridCompany,ResidualConsumption,FlexSettledConsumption,HourlySettledConsumption
2023-12-31T19:00:00,2023-12-31T20:00:00,911,,20471.867,7920.25
2023-12-31T19:00:00,2023-12-31T20:00:00,950,,73.5,
2023-12-31T19:00:00,2023-12-31T20:00:00,951,,9000.0,
2023-12-31T19:00:00,2023-12-31T20:00:00,952,,45948.1,
2023-12-31T19:00:00,2023-12-31T20:00:00,953,,27113.5,
2023-12-31T19:00:00,2023-12-31T20:00:00,954,,16609.0,
2023-12-31T19:00:00,2023-12-31T20:00:00,960,,131.0,
2023-12-31T19:00:00,2023-12-31T20:00:00,962,,11300.0,
2023-12-31T19:00:00,2023-12-31T20:00:00,990,,0.0,
2023-12-31T18:00:00,2023-12-31T19:00:00,003,,101099.82,0.0
2023-12-31T18:00:00,2023-12-31T19:00:00,007,,77317.147,0.0
2023-12-31T18:00:00,2023-12-31T19:00:00,016,,653.62,33.38
2023-12-31T18:00:00,2023-12-31T19:00:00,031,,86973.3,86843.279
2023-12-31T18:00:00,2023-12-31T19:00:00,042,,12944.137,9159.87
2023-12-31T18:00:00,2023-12-31T19:00:00,051,,15488.91,21031.15
2023-12-31T18:00:00,2023-12-31T19:00:00,084,,2683.128,668.94
2023-12-31T18:00:00,2023-12-31T19:00:00,085,,2247.76,263.72
2023-12-31T18:00:00,2023-12-31T19:00:00,131,,372808.199,327241.517
2023-12-31T18:00:00,2023-12-31T19:00:00,141,,2493.837,806.65
2023-12-31T18:00:00,2023-12-31T19:00:00,151,,120874.878,309351.905
2023-12-31T18:00:00,2023-12-31T19:00:00,154,,13610.925,57208.222
2023-12-31T18:00:00,2023-12-31T19:00:00,233,,84569.716,35468.101
2023-12-31T18:00:00,2023-12-31T19:00:00,244,,102770.186,100117.849
2023-12-31T18:00:00,2023-12-31T19:00:00,245,,48961.158,32738.344
2023-12-31T18:00:00,2023-12-31T19:00:00,312,,3255.751,
2023-12-31T18:00:00,2023-12-31T19:00:00,331,,25518.183,15704.84
2023-12-31T18:00:00,2023-12-31T19:00:00,341,,2759.827,1724.655
2023-12-31T18:00:00,2023-12-31T19:00:00,342,,6636.443,1794.86
2023-12-31T18:00:00,2023-12-31T19:00:00,344,,284848.731,252651.395
2023-12-31T18:00:00,2023-12-31T19:00:00,347,,29446.735,17631.692
2023-12-31T18:00:00,2023-12-31T19:00:00,348,,51883.265,61937.67
2023-12-31T18:00:00,2023-12-31T19:00:00,351,,11076.491,14142.65
2023-12-31T18:00:00,2023-12-31T19:00:00,357,,3313.063,1832.74
2023-12-31T18:00:00,2023-12-31T19:00:00,370,,1586.663,303.717
